"sample_date","site_code","vegetation_scientific_name","common_name","vegetation_rope_length"
1999-05-18,"AE91","Lolium multiflorum",NA,NA
1999-05-18,"AE91","Erodium texanum","Heronbill, Texas Filaree",NA
1999-05-18,"AE91","Bromus",NA,NA
1999-05-18,"AE91","Schismus",NA,NA
1999-05-18,"AE91","Malva parviflora","Mallow, Cheese-weed",NA
1999-05-13,"AF141","Amsinckia",NA,NA
1999-05-21,"M171","Avena sativa","Oats",NA
1999-05-21,"M171","Sonchus",NA,NA
1999-05-21,"M171","Salsola",NA,NA
1999-05-21,"M171","Hordeum",NA,NA
1999-05-21,"M171","Lolium",NA,NA
1999-05-21,"M171","Rumex",NA,NA
1999-05-21,"M171","Helianthus annuus Sungold","Sunflower",NA
1999-05-21,"M171","Solanum",NA,NA
1999-05-17,"R141","Amaranthus",NA,NA
1999-05-17,"R141","Bromus",NA,NA
1999-05-17,"R141","Hordeum",NA,NA
1999-05-17,"R141","Solanum",NA,NA
1999-05-17,"R141","Silybum marianum","Milk-thistle",NA
1999-05-14,"V181","Erodium texanum","Heronbill, Texas Filaree",NA
1999-05-14,"V181","Malva parviflora","Mallow, Cheese-weed",NA
1999-05-14,"V181","Sphaeralcea coulteri","Coulters Desert Mallow",NA
1999-05-14,"V181","Salsola kali",NA,NA
1999-05-14,"V181","Stephanomeria",NA,NA
1999-05-14,"V181","Atriplex",NA,NA
1999-05-14,"V181","Hordeum",NA,NA
1999-05-14,"V181","Schismus",NA,NA
1999-05-14,"V181","Solanum",NA,NA
1999-05-14,"W211","Atriplex",NA,NA
1999-05-14,"W211","Schismus arabicus","Schismus",NA
1999-05-14,"W211","Tribulus terrestris","Puncture Vine, Bullheads",NA
1999-05-14,"W211","Salsola tragus","Tumbleweed, Russian-thistle",NA
1999-05-21,"W91","Stephanomeria",NA,NA
2000-05-01,"AA111","Lepidium",NA,NA
2000-03-14,"AA171","Brassica tournefortii","Mustard",NA
2000-05-04,"AA91","Mirabilis bigelovii","Four OClock",NA
2000-05-04,"AA91","Baileya",NA,NA
2000-05-04,"AA91","Hymenoclea",NA,NA
2000-05-04,"AA91","Porophyllum",NA,NA
2000-05-04,"AA91","Euphorbia",NA,NA
2000-05-04,"AA91","Eriastrum",NA,NA
2000-04-20,"AB101","Pectocarya recurvata",NA,NA
2000-04-20,"AB101","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-04-20,"AB101","Amsinckia",NA,NA
2000-04-20,"AB101","Sphaeralcea",NA,NA
